name,type,ownership,city,state,aka,slug
Government Polytechnic Diglipur,affiliated_college,government,Andamans,Andaman and Nicobar Islands,1-46215645790,government-polytechnic-diglipur
Dr. B.R. Ambedkar Institute of Technology,affiliated_college,government,PORT Blair,Andaman and Nicobar Islands,1-46224313979,dr-b-r-ambedkar-institute-of-technology
Andaman Nicobar Collge Ancol,affiliated_college,government,PORT Blair,Andaman and Nicobar Islands,1-46282267015,andaman-nicobar-collge-ancol
Jawaharlal Nehru Rajkeeya Mahavidyalaya,affiliated_college,government,PORT Blair,Andaman and Nicobar Islands,1-46281625942,jawaharlal-nehru-rajkeeya-mahavidyalaya
Narayana Institute of Management,affiliated_college,private_unaided,Anantapur,Andhra Pradesh,1-46209014717,narayana-institute-of-management
"Government Polytechnic,Kavali,Nellore DIST Andhrapradesh",affiliated_college,government,Nellore,Andhra Pradesh,1-46218327479,government-polytechnic-kavali-nellore-dist-andhrapradesh
Aksharaa Polytechnic,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46219195951,aksharaa-polytechnic
Government Polytechnic for Minorities,affiliated_college,government,Kurnool,Andhra Pradesh,1-46218328532,government-polytechnic-for-minorities
Andhra Polytechnic,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46219042201,andhra-polytechnic
Chirala Engineering College,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46219042900,chirala-engineering-college
Tirumala Engineering College,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46219518867,tirumala-engineering-college
Simhadhri Educational Society Group of Institutions,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218353878,simhadhri-educational-society-group-of-institutions
Govt Institute of Textile Technology,affiliated_college,government,Guntur,Andhra Pradesh,1-46219223639,govt-institute-of-textile-technology
Rgukt- RK Valley,state_university,government,YSR District,Andhra Pradesh,1-46218172013,rgukt-rk-valley
SUVR & SR Government Polytechnic for Women,affiliated_college,government,Prakasam,Andhra Pradesh,1-46219064457,suvr-sr-government-polytechnic-for-women
Andhra Loyola College,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46219064865,andhra-loyola-college
D a Governement Polytechnic,affiliated_college,government,Prakasam,Andhra Pradesh,1-46218172969,d-a-governement-polytechnic
Ravindra College of Engineering for Women,affiliated_college,private_unaided,Kurnool,Andhra Pradesh,1-46218187265,ravindra-college-of-engineering-for-women
S.V.Arts & Science College,affiliated_college,private_unaided,Nellore,Andhra Pradesh,1-46218187826,s-v-arts-science-college
"Government Polytechnic, Parvathipuram.",affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46218380053,government-polytechnic-parvathipuram
SRI G Pulla Reddy Government Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46218380395,sri-g-pulla-reddy-government-polytechnic
Government Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46219094896,government-polytechnic
Government Model Residential Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46218209827,government-model-residential-polytechnic
SREE Mullapudi Venkataraya Memorial Polytechnic,affiliated_college,private_unaided,WEST Godavari,Andhra Pradesh,1-46218209936,sree-mullapudi-venkataraya-memorial-polytechnic
Government Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46218407399,government-polytechnic-1-46218407399
Government Polytechnic Gannavaram,affiliated_college,government,Krishna,Andhra Pradesh,1-46219273671,government-polytechnic-gannavaram
"Government Polytechnic, Rayadurg",affiliated_college,government,Anantapur,Andhra Pradesh,1-46219716905,government-polytechnic-rayadurg
"Govt. Polytechnic,Madakasira, Govt. of A.P",affiliated_college,government,Anantapur,Andhra Pradesh,1-46218408144,govt-polytechnic-madakasira-govt-of-a-p
Miracle Educational Society Group of Institutions,affiliated_college,private_unaided,Vizianagaram,Andhra Pradesh,1-46219116401,miracle-educational-society-group-of-institutions
B V C College of Engineering,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46218409004,b-v-c-college-of-engineering
E S C Govt. Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46219301405,e-s-c-govt-polytechnic
VEMU Institute of Technology,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46219452282,vemu-institute-of-technology
Visakha Institute for Profes Sional Studies,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218236597,visakha-institute-for-profes-sional-studies
S.V.Government Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46218764676,s-v-government-polytechnic
Government Polytechnic,affiliated_college,government,Chittoor,Andhra Pradesh,1-46219301801,government-polytechnic-1-46219301801
Government Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46220062503,government-polytechnic-1-46220062503
"Dr. Y.C.James YEN Govt. Polytechnic, Kuppam",affiliated_college,government,Chittoor,Andhra Pradesh,1-46224194364,dr-y-c-james-yen-govt-polytechnic-kuppam
Government Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46218797656,government-polytechnic-1-46218797656
Government Polytechnic,affiliated_college,government,Kurnool,Andhra Pradesh,1-46218983276,government-polytechnic-1-46218983276
SIR C Ramalinga Reddy Polytechnic,affiliated_college,private_unaided,WEST Godavari,Andhra Pradesh,1-46219302269,sir-c-ramalinga-reddy-polytechnic
Yalamanchili Janardhana RAO Daita Madhusudana Sastry College of Engineering,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46219621739,yalamanchili-janardhana-rao-daita-madhusudana-sastry-college-of-engineering
"Government Polytechnic, Pillaripattu",affiliated_college,government,Chittoor,Andhra Pradesh,1-46218270060,government-polytechnic-pillaripattu
SAI Ganapathi Polytechnic,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218457524,sai-ganapathi-polytechnic
Government Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46218984711,government-polytechnic-1-46218984711
Government Polytechnic for Women,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46219163311,government-polytechnic-for-women
Hindu College of Engineering and Technology,affiliated_college,private_unaided,Guntur,Andhra Pradesh,1-46219302966,hindu-college-of-engineering-and-technology
Government Polytechnic,affiliated_college,government,Nellore,Andhra Pradesh,1-46218270965,government-polytechnic-1-46218270965
Royal School of Information & Management Sciences,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46218271120,royal-school-of-information-management-sciences
"Jntu-Gv College of Engineering, Vizianagaram",affiliated_college,government,Vizianagaram,Andhra Pradesh,1-46218303231,jntu-gv-college-of-engineering-vizianagaram
Sreenivasa Institute of Technology and Management Studies,affiliated_college,private_unaided,Chittoor,Andhra Pradesh,1-46218984870,sreenivasa-institute-of-technology-and-management-studies
SPKM Indian Institute of Handloom Technology,affiliated_college,government,Nellore,Andhra Pradesh,1-46219163909,spkm-indian-institute-of-handloom-technology
Gayatri Vidya Parishad College of Engineering,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46218483241,gayatri-vidya-parishad-college-of-engineering
Govt.Model Resedential Polytechnic,affiliated_college,government,Vishakhapatnam,Andhra Pradesh,1-46219010448,govt-model-resedential-polytechnic
Godavari Institute of Engineering & Technology,affiliated_college,private_unaided,EAST Godavari,Andhra Pradesh,1-46219509912,godavari-institute-of-engineering-technology
Government Polytechnic for Women,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46222031701,government-polytechnic-for-women-1-46222031701
Government Polytechnic,affiliated_college,government,Prakasam,Andhra Pradesh,1-46222376125,government-polytechnic-1-46222376125
Kalyani MCA College,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46222751630,kalyani-mca-college
DCRM PG College (MBA),affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46220557123,dcrm-pg-college-mba
SRI Krishnadevaraya University College of Engineering and Technology,state_university,government,Anantapur,Andhra Pradesh,1-46220888581,sri-krishnadevaraya-university-college-of-engineering-and-technology
PACE Institute of Technology and Sciences,affiliated_college,private_unaided,Prakasam,Andhra Pradesh,1-46222854062,pace-institute-of-technology-and-sciences
Government Polytechnic for Women,affiliated_college,government,YSR District,Andhra Pradesh,1-46222203433,government-polytechnic-for-women-1-46222203433
Govt Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46222567787,govt-polytechnic
Government Polytechnic,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46222568213,government-polytechnic-1-46222568213
SAI Rajeswari Institute of Technology,affiliated_college,private_unaided,YSR District,Andhra Pradesh,1-46222568273,sai-rajeswari-institute-of-technology
Alwar Polytechnic,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46222752523,alwar-polytechnic
Government Polytechnic,affiliated_college,government,YSR District,Andhra Pradesh,1-46220580224,government-polytechnic-1-46220580224
Global Institute of Management and Technology,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46220763311,global-institute-of-management-and-technology
SMT. T.K.R. Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46220921312,smt-t-k-r-polytechnic
Behara Technical Campus(Behara Polytechnic),affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46221310055,behara-technical-campus-behara-polytechnic
A.A.N.M. & V.V.R.S.R. Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46221310442,a-a-n-m-v-v-r-s-r-polytechnic
University College of Engineering Kakinada,affiliated_college,government,EAST Godavari,Andhra Pradesh,1-46223180063,university-college-of-engineering-kakinada
Government Model Residential Polytechnic,affiliated_college,government,WEST Godavari,Andhra Pradesh,1-46222568794,government-model-residential-polytechnic-1-46222568794
Krishnaveni Exhibition Societys Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46222753083,krishnaveni-exhibition-societys-polytechnic
Government Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46222753188,government-polytechnic-1-46222753188
Gayatri Vidya Parishad College of Engineering for Women,affiliated_college,private_unaided,Vishakhapatnam,Andhra Pradesh,1-46221711340,gayatri-vidya-parishad-college-of-engineering-for-women
SRI Jyothi Polytechnic,affiliated_college,private_unaided,Krishna,Andhra Pradesh,1-46222404309,sri-jyothi-polytechnic
Govt.Polytechnic,affiliated_college,government,Anantapur,Andhra Pradesh,1-46222589738,govt-polytechnic-1-46222589738
Government Polytechnic-Seethampeta,affiliated_college,government,Srikakulam,Andhra Pradesh,1-46222590453,government-polytechnic-seethampeta
T V R Polytechnic,affiliated_college,private_unaided,Srikakulam,Andhra Pradesh,1-46222786743,t-v-r-polytechnic
